film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update,actor_id,film_id,last_update,actor_id,first_name,last_name,last_update
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,1,NULL,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",1,1,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
23,"ANACONDA CONFESSIONS","A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia",2006,1,NULL,3,0.99,92,9.99,R,"Trailers,Deleted Scenes","2006-02-15 05:03:42",1,23,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
25,"ANGELS LIFE","A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin",2006,1,NULL,3,2.99,74,15.99,G,Trailers,"2006-02-15 05:03:42",1,25,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
106,"BULWORTH COMMANDMENTS","A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback",2006,1,NULL,4,2.99,61,14.99,G,Trailers,"2006-02-15 05:03:42",1,106,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
140,"CHEAPER CLYDE","A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan",2006,1,NULL,6,0.99,87,23.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42",1,140,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
166,"COLOR PHILADELPHIA","A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert",2006,1,NULL,6,2.99,149,19.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42",1,166,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
277,"ELEPHANT TROJAN","A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon",2006,1,NULL,4,4.99,126,24.99,PG-13,"Behind the Scenes","2006-02-15 05:03:42",1,277,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
361,"GLEAMING JAWBREAKER","A Amazing Display of a Composer And a Forensic Psychologist who must Discover a Car in The Canadian Rockies",2006,1,NULL,5,2.99,89,25.99,NC-17,"Trailers,Commentaries","2006-02-15 05:03:42",1,361,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
438,"HUMAN GRAFFITI","A Beautiful Reflection of a Womanizer And a Sumo Wrestler who must Chase a Database Administrator in The Gulf of Mexico",2006,1,NULL,3,2.99,68,22.99,NC-17,"Trailers,Behind the Scenes","2006-02-15 05:03:42",1,438,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
499,"KING EVOLUTION","A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon",2006,1,NULL,3,4.99,184,24.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",1,499,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
506,"LADY STAGE","A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat",2006,1,NULL,4,4.99,67,14.99,PG,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",1,506,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
509,"LANGUAGE COWBOY","A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park",2006,1,NULL,5,0.99,78,26.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",1,509,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
605,"MULHOLLAND BEAST","A Awe-Inspiring Display of a Husband And a Squirrel who must Battle a Sumo Wrestler in A Jet Boat",2006,1,NULL,7,2.99,157,13.99,PG,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",1,605,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
635,"OKLAHOMA JUMANJI","A Thoughtful Drama of a Dentist And a Womanizer who must Meet a Husband in The Sahara Desert",2006,1,NULL,7,0.99,58,15.99,PG,"Behind the Scenes","2006-02-15 05:03:42",1,635,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
749,"RULES HUMAN","A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House",2006,1,NULL,6,4.99,153,19.99,R,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",1,749,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
832,"SPLASH GUMP","A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank",2006,1,NULL,5,0.99,175,16.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",1,832,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
939,"VERTIGO NORTHWEST","A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan",2006,1,NULL,4,2.99,90,17.99,R,"Commentaries,Behind the Scenes","2006-02-15 05:03:42",1,939,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
970,"WESTWARD SEABISCUIT","A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China",2006,1,NULL,7,0.99,52,11.99,NC-17,"Commentaries,Deleted Scenes","2006-02-15 05:03:42",1,970,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
980,"WIZARD COLDBLOODED","A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention",2006,1,NULL,4,4.99,75,12.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",1,980,"2006-02-15 05:05:03",1,PENELOPE,GUINESS,"2006-02-15 04:34:33"
3,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2006,1,NULL,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42",2,3,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
31,"APACHE DIVINE","A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat",2006,1,NULL,5,4.99,92,16.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",2,31,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
47,"BABY HALL","A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft",2006,1,NULL,5,4.99,153,23.99,NC-17,Commentaries,"2006-02-15 05:03:42",2,47,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
105,"BULL SHAWSHANK","A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies",2006,1,NULL,6,0.99,125,21.99,NC-17,"Deleted Scenes","2006-02-15 05:03:42",2,105,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
132,"CHAINSAW UPTOWN","A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia",2006,1,NULL,6,0.99,114,25.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",2,132,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
145,"CHISUM BEHAVIOR","A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India",2006,1,NULL,5,4.99,124,25.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42",2,145,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
226,"DESTINY SATURDAY","A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia",2006,1,NULL,4,4.99,56,20.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42",2,226,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
249,"DRACULA CRYSTAL","A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House",2006,1,NULL,7,0.99,176,26.99,G,Commentaries,"2006-02-15 05:03:42",2,249,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
314,"FIGHT JAWBREAKER","A Intrepid Panorama of a Womanizer And a Girl who must Escape a Girl in A Manhattan Penthouse",2006,1,NULL,3,0.99,91,13.99,R,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",2,314,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
321,"FLASH WARS","A Astounding Saga of a Moose And a Pastry Chef who must Chase a Student in The Gulf of Mexico",2006,1,NULL,3,4.99,123,21.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42",2,321,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
357,"GILBERT PELICAN","A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse",2006,1,NULL,7,0.99,114,13.99,G,"Trailers,Commentaries","2006-02-15 05:03:42",2,357,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
369,"GOODFELLAS SALUTE","A Unbelieveable Tale of a Dog And a Explorer who must Sink a Mad Cow in A Baloon Factory",2006,1,NULL,4,4.99,56,22.99,PG,"Deleted Scenes","2006-02-15 05:03:42",2,369,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
399,"HAPPINESS UNITED","A Action-Packed Panorama of a Husband And a Feminist who must Meet a Forensic Psychologist in Ancient Japan",2006,1,NULL,6,2.99,100,23.99,G,"Deleted Scenes","2006-02-15 05:03:42",2,399,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
458,"INDIAN LOVE","A Insightful Saga of a Mad Scientist And a Mad Scientist who must Kill a Astronaut in An Abandoned Fun House",2006,1,NULL,4,0.99,135,26.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",2,458,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
481,"JEKYLL FROGMEN","A Fanciful Epistle of a Student And a Astronaut who must Kill a Waitress in A Shark Tank",2006,1,NULL,4,2.99,58,22.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42",2,481,"2006-02-15 05:05:03",2,NICK,WAHLBERG,"2006-02-15 04:34:33"
